event_type,event_time,estimate,standard_error,conf_low,conf_high,observations,cities,estimand
Bond election,18,2.32160312805473,1.79689579353711,-1.20031262727799,5.84351888338746,682,119,Percentage-point change from months -18 to -13
GO bond issuance,-18,-1.54142581888247,0.63164399252896,-2.77944804423923,-0.303403593525705,346,101,Percentage-point change from months -18 to -13
GO bond issuance,-17,0.481695568400774,1.01689636712457,-1.51142131116339,2.47481244796494,346,101,Percentage-point change from months -18 to -13
GO bond issuance,-16,-0.0963391136801523,0.861354781974177,-1.78459448634954,1.59191625898923,346,101,Percentage-point change from months -18 to -13
GO bond issuance,-15,-0.0963391136801508,0.879562615101658,-1.8202818392794,1.6276036119191,346,101,Percentage-point change from months -18 to -13
GO bond issuance,-14,0.481695568400775,1.27976933746508,-2.02665233303078,2.99004346983233,346,101,Percentage-point change from months -18 to -13
GO bond issuance,-13,0.770712909441233,1.00007953605615,-1.18944298122882,2.73086880011129,346,101,Percentage-point change from months -18 to -13
GO bond issuance,-12,3.08285163776493,1.47004113011987,0.201571022729989,5.96413225279987,346,101,Percentage-point change from months -18 to -13
GO bond issuance,-11,-0.0963391136801514,1.31447004859321,-2.67270040892284,2.48002218156253,346,101,Percentage-point change from months -18 to -13
GO bond issuance,-10,1.92678227360308,1.20629100376642,-0.437548093779093,4.29111264098525,346,101,Percentage-point change from months -18 to -13
GO bond issuance,-9,0.481695568400774,1.25482088194396,-1.97775336020938,2.94114449701093,346,101,Percentage-point change from months -18 to -13
GO bond issuance,-8,1.34874759152216,1.49796366092191,-1.58726118388478,4.28475636692909,346,101,Percentage-point change from months -18 to -13
GO bond issuance,-7,0.770712909441233,1.2574309667803,-1.69385178544815,3.23527760433061,346,101,Percentage-point change from months -18 to -13
GO bond issuance,-6,0.192678227360308,1.21123764177928,-2.18134755052707,2.56670400524769,346,101,Percentage-point change from months -18 to -13
GO bond issuance,-5,1.0597302504817,1.49009443367192,-1.86085483951527,3.98031534047867,346,101,Percentage-point change from months -18 to -13
GO bond issuance,-4,2.79383429672447,1.21948053354546,0.403652450975377,5.18401614247357,346,101,Percentage-point change from months -18 to -13
GO bond issuance,-3,0.192678227360308,1.17962209679215,-2.11938108235231,2.50473753707292,346,101,Percentage-point change from months -18 to -13
